participant,similarity,session1_related,session1_unrelated,session2_related,session2_unrelated
P100,different,387.1785714,452.3,346.7931034,403.5172414
P101,different,620.5185185,570.5333333,502.3793103,524.8928571
P105,different,484.4333333,587.1111111,424,441.2857143
P111,different,718.0666667,646.6206897,575.3571429,618.4827586
P113,different,644.5172414,642.1,591.4285714,599.6666667
P114,different,463.2916667,575.1428571,430.9310345,463.5555556
P117,different,642,675.8518519,673.6896552,649.6666667
P118,different,556,528.3571429,540.0689655,583.5925926
P125,different,528.6428571,521.5714286,550.9666667,581.2413793
P126,different,575.7666667,587.7142857,591.8666667,607.2413793
P132,different,513.0740741,543.5517241,563.9655172,580.4827586
P133,different,454.7333333,468,485.862069,511.9666667
P143,different,494.5909091,520.1785714,523.3076923,596.8421053
P144,different,580.9,660.7857143,529.7241379,554.25
P145,different,441,482.0740741,490.1724138,504.2068966
P146,different,523.8275862,500.137931,523.6428571,504.5172414
P15,different,591.862069,704.7857143,589.0714286,601.7241379
P153,different,495.8461538,589.2,579.0344828,569
P156,different,463.6896552,479.3103448,486.1034483,516.2413793
P158,different,583.6,616.1,555.7586207,589.8333333
P160,different,649.9655172,719.3333333,694.8666667,706.4666667
P161,different,438.2,459.5172414,448.2666667,461.7931034
P164,different,455.4137931,474.7586207,474.2413793,478.1428571
P168,different,523.75,543.6785714,520.862069,547.3703704
P169,different,532.137931,547.5862069,536.9666667,544.1666667
P171,different,466.8,477.5862069,431.4333333,448.9642857
P173,different,596.6666667,672.8571429,552.1333333,552.7142857
P175,different,519.862069,539.2666667,512.137931,557.3448276
P180,different,530.5714286,544.5333333,512.6333333,589.8965517
P184,different,583.8928571,686.8888889,449.6785714,487.8571429
P189,different,555.8333333,602.6071429,504.6785714,529.3448276
P193,different,405.9655172,426.5357143,485.4827586,480.12
P199,different,492.0714286,501.5517241,529.6206897,542.8148148
P203,different,594.0333333,589.4,575.3333333,579.7931034
P204,different,448.3333333,468.6896552,457.3793103,485.6896552
P205,different,563.2758621,568.2758621,552.6071429,578.5666667
P21,different,491.6666667,524.8571429,468.7333333,460.1071429
P218,different,680.137931,678.3666667,565.2592593,615.6551724
P224,different,559,570.5555556,523.7,547.5555556
P23,different,471.2857143,494.6206897,442.8214286,457.7586207
P231,different,564.8333333,568.2758621,556.5333333,554.8148148
P235,different,448.4482759,423.7586207,369.1666667,394
P239,different,446.3793103,468.1333333,456.8333333,505.0344828
P246,different,593.7333333,677.1785714,593.5172414,615.8275862
P262,different,457.7142857,484.7586207,447.9,473
P266,different,587.1724138,592.6428571,559.4333333,562.4
P268,different,431.7142857,446.3214286,455.5333333,455
P27,different,640.7142857,591.6551724,612.6071429,596.6428571
P270,different,491.4,532.1034483,429.0333333,469
P281,different,625.2758621,667.1,570.2333333,560.6551724
P298,different,426,441.1785714,426.7241379,457.1071429
P299,different,455.4827586,455.3571429,424.7333333,456.6785714
P30,different,527.7,601.7,517.5172414,558.9642857
P300,different,676.7,677.5714286,549.4,590.9310345
P301,different,515.2068966,552.3214286,517.1034483,555.3214286
P303,different,421.5517241,460.5,413.2758621,423.1428571
P307,different,469.25,530.862069,484.7586207,501.9
P308,different,453.9642857,456.2666667,526.4482759,512.5
P323,different,457.3571429,515.4482759,483.2142857,500
P325,different,561.2222222,706.4814815,573.3333333,627.9
P35,different,544.962963,574.5714286,513.2962963,527.4285714
P36,different,532.2,563.8666667,492.3666667,527.5172414
P42,different,507.25,531.2758621,522.3,541.8965517
P49,different,512.3,574.52,607.8275862,626.1785714
P508,different,532.1034483,526.0666667,492.1034483,508.7241379
P509,different,456.1785714,463.2962963,431.3448276,470.5555556
P51,different,551.9655172,594.7407407,579.0333333,525.3928571
P510,different,462.1034483,511.8275862,543.1666667,532.6896552
P55,different,592.7241379,613.8275862,608.1666667,657.1
P58,different,536.1428571,569.6333333,533.0740741,558.7407407
P62,different,517.9655172,564.1666667,562.9655172,611.2307692
P67,different,461.8333333,510.3703704,436.4666667,471.9
P72,different,502.6666667,518.9285714,460.1785714,523.1724138
P77,different,543,592.8275862,526.2,544.7142857
P8,different,553,613.6666667,536.5,566.4230769
P82,different,568.7931034,631.4137931,619.5172414,705.3333333
P83,different,402.9,452.1071429,405.6896552,424.5172414
P9,different,602.2666667,647.3793103,563.0344828,639.6333333
P95,different,616.0333333,672.3571429,694.7,673.7333333
P96,different,557.8333333,531.9285714,474.7666667,507.0333333
P103,same,557.7,596.5172414,561.5862069,572.7666667
P104,same,555.5,566.0689655,554.1071429,528.6333333
P109,same,555.5517241,570.3448276,618.2333333,625.3448276
P115,same,543.6896552,570.0666667,523.3793103,552.4333333
P116,same,695.5333333,718.6206897,596.8928571,618.4482759
P129,same,511.6551724,576.6,503.3571429,537.1724138
P137,same,488.2068966,530.2333333,548.3333333,572.7931034
P147,same,558.5862069,558.5862069,555.6785714,563.862069
P149,same,565.137931,556.3103448,574.5862069,602.8148148
P150,same,569.4482759,566.5666667,526.7,569.3448276
P157,same,573.4137931,579.6896552,554.9,567.2592593
P16,same,502.0344828,458.3333333,482.2222222,449.9259259
P165,same,543.1333333,567.037037,529.4,541.5357143
P174,same,626.4827586,676.2758621,528.7931034,563.4137931
P176,same,445.862069,446.9285714,409.3928571,434.5
P181,same,586.6333333,605.2,572.4333333,581.5172414
P183,same,471.2222222,489.52,512.8148148,517.75
P19,same,424.5172414,458.5,440.862069,473.2666667
P190,same,572.7241379,585.0666667,556.1724138,573.25
P194,same,427.3571429,451.962963,426.3793103,426.4482759
P201,same,745.5862069,742,694.7241379,719.2666667
P208,same,557.6206897,583.5,569.1666667,595.2666667
P209,same,537.862069,569.4137931,532.3214286,548.2068966
P211,same,481.0333333,513.6666667,498.9310345,498.1666667
P22,same,515.8333333,558.4666667,487.137931,494.6896552
P220,same,586.7931034,578.7241379,535,576.6153846
P221,same,509.8,516.6666667,522.8333333,529.137931
P222,same,463.4,481.8461538,501.4,565.7391304
P226,same,528.0689655,582.0344828,520.8275862,548.8333333
P228,same,728.4482759,713.2142857,661.0714286,695.9666667
P236,same,501.0333333,524.7,529.0357143,604.3
P237,same,501.4137931,526.4827586,537.2758621,556.3333333
P238,same,442.9,477.2758621,454.5714286,475.6666667
P241,same,517.9655172,521.7037037,460.9655172,488.8571429
P247,same,543.8666667,543.25,508.2333333,501.8214286
P248,same,427.4285714,423.1153846,396.4482759,443.4666667
P249,same,530.3448276,533.6071429,645.4666667,684.5862069
P251,same,513.5666667,545.6296296,454.8275862,511.7241379
P255,same,520.8275862,545.6206897,505.7857143,524.8571429
P264,same,549.4137931,586.8571429,591.7142857,606.0689655
P271,same,459.8666667,478.1481481,432.1785714,441.4827586
P273,same,452.9666667,516,411.0666667,456.8928571
P274,same,631.0333333,642.1428571,652.6333333,640.2068966
P276,same,601.7931034,619.5357143,568.6551724,580.3333333
P277,same,425.5714286,469.6896552,390.7586207,411.5517241
P278,same,517.3448276,579,566.037037,573
P280,same,532.3793103,641.7857143,567.2962963,615.2
P283,same,522.7241379,554.3103448,494.3333333,555.8214286
P29,same,582.6071429,602.5333333,526.0666667,547.1785714
P290,same,443.24,469.1818182,487.7586207,531.9166667
P294,same,498.6896552,505.6333333,514.7666667,523.9285714
P3,same,598.6296296,661.3461538,578.137931,594.0357143
P302,same,535.8965517,527.6785714,496.3448276,546.6785714
P309,same,581.7,633.0714286,580.6333333,604.9285714
P313,same,441.3666667,479.5,415.4642857,454.4827586
P319,same,676.7586207,689.8518519,620,658.0333333
P32,same,558.0344828,549.8214286,606.9642857,628.7
P329,same,544.0689655,561.2857143,511.5862069,537.3928571
P34,same,441.137931,491.8214286,460.0333333,503.0666667
P4,same,502.25,482.1,556.5217391,549.4230769
P40,same,585.7241379,576.1333333,536.0344828,568.4827586
P44,same,464.1034483,511.2758621,456.5517241,504.4333333
P45,same,498.8275862,478.2333333,495.6206897,450.3928571
P502,same,437.3928571,443.8571429,462.4482759,430.5714286
P503,same,406.9310345,436.2413793,497.0714286,495.9642857
P504,same,522.9666667,559,487.4827586,541.137931
P511,same,623.9642857,661.7931034,558.6333333,576.6551724
P53,same,569.9,598.3928571,570.9655172,628.4666667
P54,same,487.3793103,572.0689655,482,495.8928571
P6,same,530.6551724,520.8571429,525.5517241,546.2333333
P60,same,493.7931034,570.4482759,470.5925926,536.0333333
P61,same,576.0333333,546.5,551.7586207,571.2666667
P68,same,625.0689655,618.0740741,569.2857143,622.1034483
P70,same,445.7142857,466.6333333,393.4666667,407.8214286
P74,same,487.5517241,556.5,489.8275862,576.7241379
P75,same,597.0666667,612.5,608.3793103,610.862069
P79,same,572.7142857,587.2,596.2333333,624.4285714
P86,same,534.1333333,587.3793103,503.6206897,546.2413793
P89,same,501.8333333,507.3793103,538.1923077,510.7333333
P92,same,581.6071429,644.5652174,518.4482759,541.8
