participant,similarity,session1_massedstudy,session1_spacedstudy,session2_massedstudy,session2_spacedstudy
T102,different,0.15,0.35,0.25,0.35
T106,different,0.25,0.25,0.3,0.25
T109,different,0.2,0.2,0.2,0.3
T110,different,0.1,0.25,0.1,0.25
T111,different,0.05,0.3,0.05,0.25
T112,different,0.1,0.2,0.15,0.2
T113,different,0.15,0.25,0.15,0.25
T114,different,0.1,0.25,0.2,0.35
T115,different,0.2,0.15,0.2,0.1
T116,different,0.2,0.3,0.25,0.3
T117,different,0.15,0.05,0.1,0.2
T118,different,0.15,0.1,0.1,0.2
T119,different,0.2,0.15,0.1,0.25
T120,different,0.15,0.35,0.1,0.25
T121,different,0.1,0.25,0.1,0.15
T122,different,0.15,0.35,0.15,0.35
T123,different,0.1,0.25,0.1,0.1
T124,different,0.15,0.25,0.05,0.3
T125,different,0.2,0.2,0.05,0.3
T126,different,0,0.2,0.2,0.3
T131,different,0.15,0.25,0.1,0.35
T132,different,0.25,0.55,0.05,0.15
T133,different,0.05,0.15,0.25,0.25
T135,different,0.25,0.35,0.2,0.4
T136,different,0.05,0.3,0.2,0.15
T137,different,0.15,0.2,0.05,0.2
T138,different,0.05,0.25,0.05,0.2
T140,different,0.15,0.3,0,0.2
T141,different,0.05,0.2,0.1,0.2
T142,different,0.05,0.35,0.05,0.25
T144,different,0.05,0.45,0.1,0.25
T146,different,0.2,0.2,0.15,0.2
T148,different,0.05,0.4,0.15,0.1
T149,different,0.15,0.3,0.1,0.1
T150,different,0.2,0.35,0.15,0.2
T153,different,0.15,0.05,0.2,0.15
T154,different,0.1,0.3,0.1,0.15
T155,different,0.05,0.35,0.15,0.2
T156,different,0.15,0.25,0.3,0.3
T157,different,0.25,0.2,0.2,0.4
T162,different,0.4,0.45,0.3,0.35
T163,different,0.05,0.15,0.2,0.15
T166,different,0.1,0.15,0.1,0.15
T170,different,0,0.2,0.2,0.35
T171,different,0.05,0.3,0.05,0.15
T172,different,0.15,0.25,0.15,0.15
T175,different,0.05,0.25,0.15,0.1
T176,different,0.1,0.15,0.1,0.2
T179,different,0.1,0.3,0.25,0.25
T180,different,0.2,0.1,0.1,0.15
T182,different,0.05,0.15,0.1,0.1
T184,different,0.1,0.25,0.05,0.15
T185,different,0.25,0.35,0.4,0.3
T186,different,0.15,0.05,0.2,0.15
T187,different,0.2,0.3,0.05,0.15
T189,different,0.1,0.2,0,0.2
T190,different,0.55,0.6,0.65,0.65
T191,different,0,0.25,0.15,0.2
T192,different,0.05,0.2,0.35,0.45
T193,different,0.1,0.5,0.05,0.3
T195,different,0.15,0.3,0.3,0.55
T197,different,0.1,0.1,0.3,0.25
T198,different,0,0.2,0,0.2
T199,different,0.1,0.2,0.1,0.1
T200,different,0.1,0.15,0.15,0.4
T203,different,0.15,0.2,0.3,0.25
T205,different,0.15,0.15,0.7,0.55
T206,different,0.1,0.2,0.05,0.2
T207,different,0.05,0.15,0.1,0.25
T208,different,0.05,0.2,0.1,0.1
T209,different,0.15,0.15,0,0.2
T210,different,0.05,0.2,0,0.35
T211,different,0.15,0.2,0.1,0.35
T212,different,0.25,0.15,0.05,0.2
T213,different,0.3,0.05,0.15,0.45
T214,different,0.6,0.6,0.6,0.6
T215,different,0.15,0.2,0.5,0.4
T217,different,0.15,0.3,0.15,0.35
T220,different,0.15,0.35,0.15,0.25
T221,different,0.25,0.2,0.15,0.15
T1,same,0,0.2,0,0.25
T11,same,0.25,0.3,0.25,0.35
T12,same,0.1,0.2,0.2,0.3
T13,same,0.25,0.15,0.15,0.35
T15,same,0.15,0.05,0.15,0.25
T16,same,0.15,0.05,0.2,0.25
T17,same,0.25,0.1,0.2,0.5
T18,same,0.15,0.15,0,0.4
T19,same,0.2,0.2,0.25,0.25
T2,same,0.1,0.4,0.2,0.3
T20,same,0.7,0.7,0.2,0.15
T21,same,0.05,0.15,0.1,0.3
T22,same,0.05,0.35,0.1,0.2
T23,same,0.15,0.3,0.2,0.35
T24,same,0.1,0.15,0.2,0.35
T25,same,0,0.15,0,0.3
T26,same,0.3,0.3,0.35,0.3
T28,same,0.2,0.15,0.25,0.25
T29,same,0.05,0.2,0.25,0.4
T30,same,0.15,0.35,0.15,0.65
T31,same,0.15,0.25,0.2,0.15
T32,same,0.05,0.15,0.15,0.25
T33,same,0.25,0.25,0.25,0.2
T34,same,0.15,0.35,0.25,0.35
T35,same,0.05,0.3,0.2,0.35
T36,same,0.15,0.4,0.15,0.35
T38,same,0.1,0.2,0.2,0.3
T39,same,0.1,0.2,0.25,0.25
T4,same,0.05,0.25,0.15,0.3
T40,same,0.4,0.25,0.15,0.35
T41,same,0.05,0.2,0.1,0.2
T42,same,0.05,0.3,0,0.25
T45,same,0.2,0.4,0.2,0.6
T46,same,0.1,0.2,0.1,0.35
T47,same,0.15,0.1,0.15,0.25
T49,same,0.15,0.35,0.25,0.45
T5,same,0.15,0.3,0.2,0.5
T50,same,0.05,0.2,0.05,0.2
T52,same,0.05,0.15,0.1,0.15
T53,same,0,0.2,0.2,0.4
T55,same,0.05,0.4,0.2,0.5
T56,same,0.15,0.25,0.2,0.3
T57,same,0.05,0.2,0.15,0.35
T6,same,0.1,0.15,0.15,0.2
T60,same,0.15,0.05,0.15,0.1
T61,same,0.15,0.35,0.35,0.25
T62,same,0.1,0.15,0.3,0.1
T63,same,0.15,0.35,0.2,0.25
T64,same,0.25,0.2,0.05,0.2
T65,same,0.05,0.15,0.1,0.3
T66,same,0.15,0.2,0.3,0.4
T67,same,0,0.2,0.1,0.3
T68,same,0.1,0.2,0.05,0.15
T69,same,0.05,0.25,0.05,0.4
T7,same,0.1,0.35,0.2,0.35
T70,same,0.15,0.2,0.2,0.45
T71,same,0.25,0.4,0.2,0.35
T72,same,0.2,0.05,0.25,0.25
T76,same,0.1,0.15,0.45,0.55
T77,same,0.1,0.2,0.1,0.1
T78,same,0,0.4,0.15,0.35
T79,same,0.05,0.15,0.15,0.45
T8,same,0.05,0.4,0.3,0.3
T80,same,0.05,0.15,0.05,0.2
T81,same,0.2,0.15,0.25,0.35
T83,same,0.1,0.15,0.15,0.25
T84,same,0.1,0.3,0.1,0.25
T85,same,0.1,0.15,0.25,0.3
T86,same,0.1,0.4,0.3,0.4
T87,same,0.15,0.2,0.75,0.8
T88,same,0.1,0.2,0.2,0.5
T89,same,0.05,0.2,0.1,0.25
T9,same,0.15,0.2,0.1,0.35
T90,same,0.15,0.65,0.3,0.55
T91,same,0.05,0.45,0.45,0.35
T92,same,0.15,0.05,0.2,0.2
T94,same,0.1,0.3,0.4,0.45
T95,same,0.35,0.4,0.4,0.25
T96,same,0.05,0.2,0,0.25
T97,same,0.15,0.25,0.15,0.35
